Glassdoor ranking,Paternity League ranking,Paternity League ranking ARROW,Company,Total leave period (weeks),Rate of pay,Rate of pay ranking,Leave offered ranking,Paternity Pay Score,Industry
24,1,up,Diageo,52,100% salary for 26 weeks,1,1,Gold,ABC
16,2,up,Zurich Insurance,52,100% salary for 16 weeks,2,1,Gold,ABC
40,3,up,Fidelity International,26,100% salary,3,2,Gold,ABC
47,4,up,Mars,26,90% salary,4,2,Gold,ABC
8,5,up,VMware,18,100% salary,5,4,Silver,ABC
18,6,up,Google,18,100% salary,5,4,Silver,ABC
20,7,up,Wise,18,100% salary ,5,4,Silver,ABC
10,8,up,Meta,16,100% salary,6,5,Silver,ABC
14,9,up,Mastercard,16,100% salary,6,5,Silver,ABC
49,10,up,O2,14,100% salary,7,6,Silver,ABC
41,11,up,S&P Global,20,Statutory rate assumed,11,3,Bronze,ABC
45,12,up,Marriott International,14,"100% for 2 weeks 
reduced pay for 12 weeks",8,6,Silver,ABC
1,13,down,ServiceNow,12,100% salary,9,7,Silver,ABC
6,14,down,McKinsey & Company,12,100% salary,9,7,Silver,ABC
13,15,down,Microsoft,12,100% salary,9,7,Silver,ABC
27,16,up,Octopus Energy,12,100% salary,9,7,Silver,ABC
17,17,none,Awin,8,100% salary,10,8,Bronze,ABC
22,18,up,BCG,8,100% salary ,10,8,Bronze,ABC
37,19,up,The Lego Group,8,100% salary ,10,8,Bronze,ABC
44,20,up,Proctor & Gamble,8,100% salary,10,8,Bronze,ABC
5,21,down,Abcam,6,100% salary,12,9,Bronze,DEF
23,22,up,Apple,6,100% salary,12,9,Bronze,DEF
3,23,down,Salesforce,12,Statutory rate assumed,14,7,Bronze,DEF
7,24,down,Adobe,4,100% salary,13,10,Bronze,DEF
39,25,up,Johnson & Johnson,8,Statutory rate assumed,16,8,Bronze,DEF
9,26,down,Arm,8,Statutory rate assumed,16,8,Bronze,DEF
31,27,up,Softcat,3,90% salary,15,11,Bronze,DEF
4,28,down,Immediate Media Company,4,"100% for 2 weeks 
statutory for 2 weeks",17,10,Bronze,GHI
11,29,down,Novuna,2,100% salary,18,12,Bronze,GHI
29,30,down,Barratt Developments,2,100% salary,18,12,Bronze,GHI
30,31,down,Sky Betting & Gaming,2,100% salary,18,12,Bronze,GHI
32,32,none,Cisco Systems,2,100% salary,18,12,Bronze,GHI
38,33,up,Kainos,2,100% salary,18,12,Bronze,GHI
15,34,down,Dell Technologies,2,Statutory rate,19,12,Bronze,GHI
26,35,down,Oliver Bonas,2,Statutory rate,19,12,Bronze,JKL
33,36,down,Sage,2,Statutory rate,19,12,Bronze,JKL
50,37,up,MBDA,2,Statutory rate assumed,19,12,Bronze,JKL
42,38,up,Ford Motor Company,2,Statutory rate,19,12,Bronze,JKL
43,39,up,Jet2.com,2,Statutory rate,19,12,Bronze,JKL
46,40,up,Capgemini Invent,2,Statutory rate,19,12,Bronze,JKL
48,41,up,Mott Macdonald,2,Statutory rate,19,12,Bronze,JKL
